flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,delaySum_ns,jitterSum_ns,timeFirstTxPacket,timeLastRxPacket,throughput_kbps,source,destination,protocol,sourcePort,destinationPort
1,2416,2416,7,7,0,333376000.0,37670400.0,1.0,1.22192,87.09444844989189,10.1.1.1,10.10.5.4,6,49153,8000
2,2416,2416,7,7,0,335048000.0,38414400.0,1.0,1.22231,86.9416580450722,10.2.1.1,10.10.5.4,6,49153,8000
3,2416,2416,7,7,0,336720000.0,39158400.0,1.0,1.22271,86.78550581473667,10.3.1.1,10.10.5.4,6,49153,8000
4,2416,2416,7,7,0,338392000.0,39902400.0,1.0,1.2231,86.63379650380992,10.4.1.1,10.10.5.4,6,49153,8000
5,2416,2416,7,7,0,340064000.0,40646400.0,1.0,1.2235,86.4787472035794,10.5.1.1,10.10.5.4,6,49153,8000
6,264,264,5,5,0,203062000.0,470400.0,1.04056,1.1814,14.99573984663447,10.10.5.4,10.1.1.1,6,8000,49153
7,264,264,5,5,0,203062000.0,470400.0,1.0406,1.18179,14.95856647071323,10.10.5.4,10.2.1.1,6,8000,49153
8,264,264,5,5,0,203062000.0,470400.0,1.04065,1.18219,14.921576939381094,10.10.5.4,10.3.1.1,6,8000,49153
9,264,264,5,5,0,203062000.0,470400.0,1.0407,1.18258,14.885819001973498,10.10.5.4,10.4.1.1,6,8000,49153
10,264,264,5,5,0,203062000.0,470400.0,1.04074,1.18298,14.848143982002258,10.10.5.4,10.5.1.1,6,8000,49153
11,2416,2416,7,7,0,334894000.0,39188800.0,1.1,1.32348,86.48648648648653,10.1.2.1,10.10.5.4,6,49153,8000
12,2416,2416,7,7,0,336566000.0,39932800.0,1.1,1.32387,86.33581989547505,10.2.2.1,10.10.5.4,6,49153,8000
13,2416,2416,7,7,0,338238000.0,40676800.0,1.1,1.32427,86.1818343960405,10.3.2.1,10.10.5.4,6,49153,8000
14,2416,2416,7,7,0,339910000.0,41420800.0,1.1,1.32466,86.03222647556314,10.4.2.1,10.10.5.4,6,49153,8000
15,2416,2416,7,7,0,341582000.0,42164800.0,1.1,1.32506,85.87932106993698,10.5.2.1,10.10.5.4,6,49153,8000
16,264,264,5,5,0,203102000.0,510400.0,1.14208,1.28296,14.991482112436104,10.10.5.4,10.1.2.1,6,8000,49153
17,264,264,5,5,0,203102000.0,510400.0,1.14212,1.28335,14.954329816611205,10.10.5.4,10.2.2.1,6,8000,49153
18,264,264,5,5,0,203102000.0,510400.0,1.14217,1.28375,14.917361209210336,10.10.5.4,10.3.2.1,6,8000,49153
19,264,264,5,5,0,203102000.0,510400.0,1.14221,1.28414,14.880574931304151,10.10.5.4,10.4.2.1,6,8000,49153
20,264,264,5,5,0,203102000.0,510400.0,1.14226,1.28454,14.843969637334835,10.10.5.4,10.5.2.1,6,8000,49153
21,2416,2416,7,7,0,333376000.0,37670400.0,1.2,1.42192,87.0944484498918,10.1.3.1,10.10.5.4,6,49153,8000
22,2416,2416,7,7,0,335048000.0,38414400.0,1.2,1.42231,86.9416580450722,10.2.3.1,10.10.5.4,6,49153,8000
23,2416,2416,7,7,0,336720000.0,39158400.0,1.2,1.42271,86.78550581473667,10.3.3.1,10.10.5.4,6,49153,8000
24,2416,2416,7,7,0,338392000.0,39902400.0,1.2,1.4231,86.63379650380992,10.4.3.1,10.10.5.4,6,49153,8000
25,2416,2416,7,7,0,340064000.0,40646400.0,1.2,1.4235,86.4787472035794,10.5.3.1,10.10.5.4,6,49153,8000
26,264,264,5,5,0,203062000.0,470400.0,1.24056,1.3814,14.995739846634494,10.10.5.4,10.1.3.1,6,8000,49153
27,264,264,5,5,0,203062000.0,470400.0,1.2406,1.38179,14.958566470713208,10.10.5.4,10.2.3.1,6,8000,49153
28,264,264,5,5,0,203062000.0,470400.0,1.24065,1.38219,14.921576939381094,10.10.5.4,10.3.3.1,6,8000,49153
29,264,264,5,5,0,203062000.0,470400.0,1.2407,1.38258,14.885819001973498,10.10.5.4,10.4.3.1,6,8000,49153
30,264,264,5,5,0,203062000.0,470400.0,1.24074,1.38298,14.848143982002235,10.10.5.4,10.5.3.1,6,8000,49153
31,2416,2416,7,7,0,334894000.0,39188800.0,1.3,1.52348,86.48648648648653,10.1.4.1,10.10.5.4,6,49153,8000
32,2416,2416,7,7,0,336566000.0,39932800.0,1.3,1.52387,86.33581989547505,10.2.4.1,10.10.5.4,6,49153,8000
33,2416,2416,7,7,0,338238000.0,40676800.0,1.3,1.52427,86.1818343960405,10.3.4.1,10.10.5.4,6,49153,8000
34,2416,2416,7,7,0,339910000.0,41420800.0,1.3,1.52466,86.03222647556314,10.4.4.1,10.10.5.4,6,49153,8000
35,2416,2416,7,7,0,341582000.0,42164800.0,1.3,1.52506,85.87932106993689,10.5.4.1,10.10.5.4,6,49153,8000
36,264,264,5,5,0,203102000.0,510400.0,1.34208,1.48296,14.991482112436104,10.10.5.4,10.1.4.1,6,8000,49153
37,264,264,5,5,0,203102000.0,510400.0,1.34212,1.48335,14.954329816611205,10.10.5.4,10.2.4.1,6,8000,49153
38,264,264,5,5,0,203102000.0,510400.0,1.34217,1.48375,14.91736120921036,10.10.5.4,10.3.4.1,6,8000,49153
39,264,264,5,5,0,203102000.0,510400.0,1.34221,1.48414,14.880574931304151,10.10.5.4,10.4.4.1,6,8000,49153
40,264,264,5,5,0,203102000.0,510400.0,1.34226,1.48454,14.843969637334835,10.10.5.4,10.5.4.1,6,8000,49153
41,2416,2416,7,7,0,333376000.0,37670400.0,1.4,1.62192,87.0944484498918,10.1.5.1,10.10.5.4,6,49153,8000
42,2416,2416,7,7,0,335048000.0,38414400.0,1.4,1.62231,86.9416580450722,10.2.5.1,10.10.5.4,6,49153,8000
43,2416,2416,7,7,0,336720000.0,39158400.0,1.4,1.62271,86.78550581473658,10.3.5.1,10.10.5.4,6,49153,8000
44,2416,2416,7,7,0,338392000.0,39902400.0,1.4,1.6231,86.63379650380992,10.4.5.1,10.10.5.4,6,49153,8000
45,2416,2416,7,7,0,340064000.0,40646400.0,1.4,1.6235,86.4787472035794,10.5.5.1,10.10.5.4,6,49153,8000
46,264,264,5,5,0,203062000.0,470400.0,1.44056,1.5814,14.995739846634494,10.10.5.4,10.1.5.1,6,8000,49153
47,264,264,5,5,0,203062000.0,470400.0,1.4406,1.58179,14.95856647071323,10.10.5.4,10.2.5.1,6,8000,49153
48,264,264,5,5,0,203062000.0,470400.0,1.44065,1.58219,14.921576939381094,10.10.5.4,10.3.5.1,6,8000,49153
49,264,264,5,5,0,203062000.0,470400.0,1.4407,1.58258,14.885819001973498,10.10.5.4,10.4.5.1,6,8000,49153
50,264,264,5,5,0,203062000.0,470400.0,1.44074,1.58298,14.848143982002235,10.10.5.4,10.5.5.1,6,8000,49153
51,2416,2416,7,7,0,334894000.0,39188800.0,1.5,1.72348,86.48648648648653,10.1.6.1,10.10.5.4,6,49153,8000
52,2416,2416,7,7,0,336566000.0,39932800.0,1.5,1.72387,86.33581989547505,10.2.6.1,10.10.5.4,6,49153,8000
53,2416,2416,7,7,0,338238000.0,40676800.0,1.5,1.72427,86.1818343960405,10.3.6.1,10.10.5.4,6,49153,8000
54,2416,2416,7,7,0,339910000.0,41420800.0,1.5,1.72466,86.03222647556304,10.4.6.1,10.10.5.4,6,49153,8000
55,2416,2416,7,7,0,341582000.0,42164800.0,1.5,1.72506,85.87932106993689,10.5.6.1,10.10.5.4,6,49153,8000
56,264,264,5,5,0,203102000.0,510400.0,1.54208,1.68296,14.991482112436104,10.10.5.4,10.1.6.1,6,8000,49153
57,264,264,5,5,0,203102000.0,510400.0,1.54212,1.68335,14.954329816611205,10.10.5.4,10.2.6.1,6,8000,49153
58,264,264,5,5,0,203102000.0,510400.0,1.54217,1.68375,14.917361209210336,10.10.5.4,10.3.6.1,6,8000,49153
59,264,264,5,5,0,203102000.0,510400.0,1.54221,1.68414,14.880574931304174,10.10.5.4,10.4.6.1,6,8000,49153
60,264,264,5,5,0,203102000.0,510400.0,1.54226,1.68454,14.843969637334835,10.10.5.4,10.5.6.1,6,8000,49153
61,2416,2416,7,7,0,333376000.0,37670400.0,1.6,1.82192,87.09444844989189,10.1.7.1,10.10.5.4,6,49153,8000
62,2416,2416,7,7,0,335048000.0,38414400.0,1.6,1.82231,86.9416580450722,10.2.7.1,10.10.5.4,6,49153,8000
63,2416,2416,7,7,0,336720000.0,39158400.0,1.6,1.82271,86.78550581473667,10.3.7.1,10.10.5.4,6,49153,8000
64,2416,2416,7,7,0,338392000.0,39902400.0,1.6,1.8231,86.63379650381,10.4.7.1,10.10.5.4,6,49153,8000
65,2416,2416,7,7,0,340064000.0,40646400.0,1.6,1.8235,86.4787472035795,10.5.7.1,10.10.5.4,6,49153,8000
66,264,264,5,5,0,203062000.0,470400.0,1.64056,1.7814,14.99573984663447,10.10.5.4,10.1.7.1,6,8000,49153
67,264,264,5,5,0,203062000.0,470400.0,1.6406,1.78179,14.95856647071323,10.10.5.4,10.2.7.1,6,8000,49153
68,264,264,5,5,0,203062000.0,470400.0,1.64065,1.78219,14.921576939381094,10.10.5.4,10.3.7.1,6,8000,49153
